strategy,source,strategy_style,asset,category,timeframe,tf_style,final_capital_inr,profit_inr,return_pct,sharpe,sortino,calmar,max_dd_pct,win_rate_pct,profit_factor,num_trades,avg_trade_inr,dd_under_15pct,grade
Heatmap_Liquidity,New-Gen: Liquidity Heatmap,Intraday,EURUSD,Forex,4h,Swing,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
TPO_Market_Profile,New-Gen: TPO/Market Profile,Swing,EURUSD,Forex,4h,Swing,8536.08,-1463.92,-14.64,-1.968,-1.065,-0.945,-15.49,36.5,0.491,96,-15.25,❌,F
VWAP_Bands,New-Gen: VWAP ±2σ Bands,Intraday,EURUSD,Forex,4h,Swing,8439.43,-1560.57,-15.61,-2.476,-0.74,-1.0,-15.61,17.9,0.186,39,-40.01,❌,F
CVD_Composite_Flagship,New-Gen: CVD+VWAP+VolProfile+Liquidity,Swing,EURUSD,Forex,4h,Swing,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
Swappy_3C_Scalping,YouTube @SwappyTrading0101,Intraday,EURUSD,Forex,1d,Positional,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
GautamJha_Liquidity_Breakout,YouTube @gautammjhaa,Intraday,EURUSD,Forex,1d,Positional,9928.86,-71.14,-0.71,-0.728,0.0,-1.0,-0.71,0.0,0.0,1,-71.14,✅,F
UmarPunjabi_Gold_London,YouTube @UmarPunjabiLive,Intraday,EURUSD,Forex,1d,Positional,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
VolumeProfile_POC,New-Gen: Volume Profile,Swing,EURUSD,Forex,1d,Positional,10070.85,70.85,0.71,0.806,0.0,4.306,-0.16,80.0,5.27,5,14.17,✅,B
Footprint_Delta_CVD,New-Gen: Footprint/CVD,Intraday,EURUSD,Forex,1d,Positional,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
GEX_Gamma_Exposure,New-Gen: GEX Proxy,Intraday,EURUSD,Forex,1d,Positional,9027.91,-972.09,-9.72,-2.73,-1.323,-0.983,-9.88,24.2,0.134,33,-29.46,✅,F
Heatmap_Liquidity,New-Gen: Liquidity Heatmap,Intraday,EURUSD,Forex,1d,Positional,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
TPO_Market_Profile,New-Gen: TPO/Market Profile,Swing,EURUSD,Forex,1d,Positional,9040.85,-959.15,-9.59,-1.299,-0.889,-0.791,-12.12,39.5,0.56,76,-12.62,✅,F
VWAP_Bands,New-Gen: VWAP ±2σ Bands,Intraday,EURUSD,Forex,1d,Positional,9641.31,-358.69,-3.59,-0.851,-0.179,-0.747,-4.8,45.8,0.416,24,-14.95,✅,F
CVD_Composite_Flagship,New-Gen: CVD+VWAP+VolProfile+Liquidity,Swing,EURUSD,Forex,1d,Positional,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
Swappy_3C_Scalping,YouTube @SwappyTrading0101,Intraday,GBPUSD,Forex,1m,Intraday,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
GautamJha_Liquidity_Breakout,YouTube @gautammjhaa,Intraday,GBPUSD,Forex,1m,Intraday,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
UmarPunjabi_Gold_London,YouTube @UmarPunjabiLive,Intraday,GBPUSD,Forex,1m,Intraday,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
VolumeProfile_POC,New-Gen: Volume Profile,Swing,GBPUSD,Forex,1m,Intraday,8676.58,-1323.42,-13.23,-35.399,-30.902,-1.0,-13.23,0.0,0.0,15,-88.23,✅,F
Footprint_Delta_CVD,New-Gen: Footprint/CVD,Intraday,GBPUSD,Forex,1m,Intraday,9328.31,-671.69,-6.72,-24.065,-12.687,-1.0,-6.72,0.0,0.0,7,-95.96,✅,F
GEX_Gamma_Exposure,New-Gen: GEX Proxy,Intraday,GBPUSD,Forex,1m,Intraday,5263.86,-4736.14,-47.36,-74.249,-102.829,-1.0,-47.36,0.0,0.0,64,-74.0,❌,F
Heatmap_Liquidity,New-Gen: Liquidity Heatmap,Intraday,GBPUSD,Forex,1m,Intraday,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
TPO_Market_Profile,New-Gen: TPO/Market Profile,Swing,GBPUSD,Forex,1m,Intraday,3651.18,-6348.82,-63.49,-94.262,-108.959,-1.0,-63.49,1.0,0.002,105,-60.46,❌,F
VWAP_Bands,New-Gen: VWAP ±2σ Bands,Intraday,GBPUSD,Forex,1m,Intraday,4995.22,-5004.78,-50.05,-70.356,-37.59,-1.0,-50.05,0.0,0.0,70,-71.5,❌,F
CVD_Composite_Flagship,New-Gen: CVD+VWAP+VolProfile+Liquidity,Swing,GBPUSD,Forex,1m,Intraday,9814.71,-185.29,-1.85,-12.753,-2.112,-1.0,-1.85,0.0,0.0,2,-92.65,✅,F
Swappy_3C_Scalping,YouTube @SwappyTrading0101,Intraday,GBPUSD,Forex,5m,Intraday,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
GautamJha_Liquidity_Breakout,YouTube @gautammjhaa,Intraday,GBPUSD,Forex,5m,Intraday,9830.87,-169.13,-1.69,-5.419,-0.447,-1.0,-1.69,0.0,0.0,2,-84.57,✅,F
UmarPunjabi_Gold_London,YouTube @UmarPunjabiLive,Intraday,GBPUSD,Forex,5m,Intraday,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
VolumeProfile_POC,New-Gen: Volume Profile,Swing,GBPUSD,Forex,5m,Intraday,8081.45,-1918.55,-19.19,-18.139,-6.892,-1.0,-19.19,0.0,0.0,22,-87.21,❌,F
Footprint_Delta_CVD,New-Gen: Footprint/CVD,Intraday,GBPUSD,Forex,5m,Intraday,8917.79,-1082.21,-10.82,-13.483,-8.206,-1.0,-10.82,0.0,0.0,11,-98.38,✅,F
GEX_Gamma_Exposure,New-Gen: GEX Proxy,Intraday,GBPUSD,Forex,5m,Intraday,4392.67,-5607.33,-56.07,-35.403,-25.616,-1.0,-56.07,0.0,0.0,80,-70.09,❌,F
Heatmap_Liquidity,New-Gen: Liquidity Heatmap,Intraday,GBPUSD,Forex,5m,Intraday,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
TPO_Market_Profile,New-Gen: TPO/Market Profile,Swing,GBPUSD,Forex,5m,Intraday,2593.35,-7406.65,-74.07,-39.527,-28.755,-0.992,-74.67,2.6,0.014,115,-64.41,❌,F
VWAP_Bands,New-Gen: VWAP ±2σ Bands,Intraday,GBPUSD,Forex,5m,Intraday,5458.3,-4541.7,-45.42,-29.313,-16.016,-1.0,-45.42,4.8,0.012,63,-72.09,❌,F
CVD_Composite_Flagship,New-Gen: CVD+VWAP+VolProfile+Liquidity,Swing,GBPUSD,Forex,5m,Intraday,9802.39,-197.61,-1.98,-6.826,-1.027,-1.0,-1.98,0.0,0.0,3,-65.87,✅,F
Swappy_3C_Scalping,YouTube @SwappyTrading0101,Intraday,GBPUSD,Forex,15m,Intraday,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
GautamJha_Liquidity_Breakout,YouTube @gautammjhaa,Intraday,GBPUSD,Forex,15m,Intraday,9883.92,-116.08,-1.16,-3.891,-0.512,-1.0,-1.16,0.0,0.0,3,-38.69,✅,F
UmarPunjabi_Gold_London,YouTube @UmarPunjabiLive,Intraday,GBPUSD,Forex,15m,Intraday,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
VolumeProfile_POC,New-Gen: Volume Profile,Swing,GBPUSD,Forex,15m,Intraday,8873.74,-1126.26,-11.26,-8.415,-1.857,-1.0,-11.26,5.3,0.006,19,-59.28,✅,F
Footprint_Delta_CVD,New-Gen: Footprint/CVD,Intraday,GBPUSD,Forex,15m,Intraday,9485.65,-514.35,-5.14,-6.109,-0.984,-1.0,-5.14,0.0,0.0,9,-57.15,✅,F
GEX_Gamma_Exposure,New-Gen: GEX Proxy,Intraday,GBPUSD,Forex,15m,Intraday,6071.37,-3928.63,-39.29,-17.706,-8.322,-1.0,-39.29,2.7,0.0,75,-52.38,❌,F
Heatmap_Liquidity,New-Gen: Liquidity Heatmap,Intraday,GBPUSD,Forex,15m,Intraday,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
TPO_Market_Profile,New-Gen: TPO/Market Profile,Swing,GBPUSD,Forex,15m,Intraday,4823.54,-5176.46,-51.76,-17.551,-8.854,-0.994,-52.06,12.6,0.088,119,-43.5,❌,F
VWAP_Bands,New-Gen: VWAP ±2σ Bands,Intraday,GBPUSD,Forex,15m,Intraday,6201.12,-3798.88,-37.99,-11.725,-3.407,-0.996,-38.15,8.1,0.02,62,-61.27,❌,F
CVD_Composite_Flagship,New-Gen: CVD+VWAP+VolProfile+Liquidity,Swing,GBPUSD,Forex,15m,Intraday,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
Swappy_3C_Scalping,YouTube @SwappyTrading0101,Intraday,GBPUSD,Forex,1h,Swing,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
GautamJha_Liquidity_Breakout,YouTube @gautammjhaa,Intraday,GBPUSD,Forex,1h,Swing,10057.5,57.5,0.58,2.239,0.0,5750310.94,0.0,100.0,0.0,3,19.17,✅,C
UmarPunjabi_Gold_London,YouTube @UmarPunjabiLive,Intraday,GBPUSD,Forex,1h,Swing,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
VolumeProfile_POC,New-Gen: Volume Profile,Swing,GBPUSD,Forex,1h,Swing,9734.81,-265.19,-2.65,-2.646,-0.426,-1.0,-2.65,10.0,0.139,10,-26.52,✅,F
Footprint_Delta_CVD,New-Gen: Footprint/CVD,Intraday,GBPUSD,Forex,1h,Swing,9844.52,-155.48,-1.55,-2.304,-0.301,-0.949,-1.64,20.0,0.051,5,-31.1,✅,F
GEX_Gamma_Exposure,New-Gen: GEX Proxy,Intraday,GBPUSD,Forex,1h,Swing,8437.53,-1562.47,-15.62,-6.09,-2.086,-0.981,-15.92,22.6,0.108,53,-29.48,❌,F
Heatmap_Liquidity,New-Gen: Liquidity Heatmap,Intraday,GBPUSD,Forex,1h,Swing,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
TPO_Market_Profile,New-Gen: TPO/Market Profile,Swing,GBPUSD,Forex,1h,Swing,7121.3,-2878.7,-28.79,-5.652,-2.667,-0.954,-30.19,30.5,0.288,105,-27.42,❌,F
VWAP_Bands,New-Gen: VWAP ±2σ Bands,Intraday,GBPUSD,Forex,1h,Swing,8954.82,-1045.18,-10.45,-2.884,-0.672,-0.993,-10.52,38.6,0.348,44,-23.75,✅,F
CVD_Composite_Flagship,New-Gen: CVD+VWAP+VolProfile+Liquidity,Swing,GBPUSD,Forex,1h,Swing,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
Swappy_3C_Scalping,YouTube @SwappyTrading0101,Intraday,GBPUSD,Forex,4h,Swing,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
GautamJha_Liquidity_Breakout,YouTube @gautammjhaa,Intraday,GBPUSD,Forex,4h,Swing,10007.67,7.67,0.08,0.22,0.0,0.485,-0.16,50.0,1.484,2,3.84,✅,F
UmarPunjabi_Gold_London,YouTube @UmarPunjabiLive,Intraday,GBPUSD,Forex,4h,Swing,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
VolumeProfile_POC,New-Gen: Volume Profile,Swing,GBPUSD,Forex,4h,Swing,9529.1,-470.9,-4.71,-1.95,-0.332,-1.0,-4.71,9.1,0.017,11,-42.81,✅,F
Footprint_Delta_CVD,New-Gen: Footprint/CVD,Intraday,GBPUSD,Forex,4h,Swing,9874.91,-125.09,-1.25,-0.939,-0.079,-0.866,-1.45,25.0,0.134,4,-31.27,✅,F
GEX_Gamma_Exposure,New-Gen: GEX Proxy,Intraday,GBPUSD,Forex,4h,Swing,8886.27,-1113.73,-11.14,-3.092,-1.1,-0.987,-11.28,26.2,0.151,42,-26.52,✅,F
Heatmap_Liquidity,New-Gen: Liquidity Heatmap,Intraday,GBPUSD,Forex,4h,Swing,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
TPO_Market_Profile,New-Gen: TPO/Market Profile,Swing,GBPUSD,Forex,4h,Swing,8530.19,-1469.81,-14.7,-2.04,-1.133,-0.993,-14.8,34.2,0.525,111,-13.24,✅,F
VWAP_Bands,New-Gen: VWAP ±2σ Bands,Intraday,GBPUSD,Forex,4h,Swing,9335.72,-664.28,-6.64,-1.483,-0.375,-0.931,-7.14,40.0,0.386,35,-18.98,✅,F
CVD_Composite_Flagship,New-Gen: CVD+VWAP+VolProfile+Liquidity,Swing,GBPUSD,Forex,4h,Swing,9903.0,-97.0,-0.97,-0.743,0.0,-0.923,-1.05,50.0,0.077,2,-48.5,✅,F
Swappy_3C_Scalping,YouTube @SwappyTrading0101,Intraday,GBPUSD,Forex,1d,Positional,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
GautamJha_Liquidity_Breakout,YouTube @gautammjhaa,Intraday,GBPUSD,Forex,1d,Positional,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
UmarPunjabi_Gold_London,YouTube @UmarPunjabiLive,Intraday,GBPUSD,Forex,1d,Positional,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
VolumeProfile_POC,New-Gen: Volume Profile,Swing,GBPUSD,Forex,1d,Positional,9951.08,-48.92,-0.49,-0.719,-0.071,-0.794,-0.62,40.0,0.206,5,-9.78,✅,F
Footprint_Delta_CVD,New-Gen: Footprint/CVD,Intraday,GBPUSD,Forex,1d,Positional,9914.81,-85.19,-0.85,-0.669,0.0,-0.924,-0.92,50.0,0.076,2,-42.6,✅,F
GEX_Gamma_Exposure,New-Gen: GEX Proxy,Intraday,GBPUSD,Forex,1d,Positional,9627.9,-372.1,-3.72,-0.871,-0.41,-0.868,-4.28,38.7,0.576,31,-12.0,✅,F
Heatmap_Liquidity,New-Gen: Liquidity Heatmap,Intraday,GBPUSD,Forex,1d,Positional,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
TPO_Market_Profile,New-Gen: TPO/Market Profile,Swing,GBPUSD,Forex,1d,Positional,9122.48,-877.52,-8.78,-1.148,-0.536,-0.805,-10.9,39.0,0.556,59,-14.87,✅,F
VWAP_Bands,New-Gen: VWAP ±2σ Bands,Intraday,GBPUSD,Forex,1d,Positional,9419.45,-580.55,-5.81,-0.691,-0.156,-0.696,-8.34,44.0,0.519,25,-23.22,✅,F
CVD_Composite_Flagship,New-Gen: CVD+VWAP+VolProfile+Liquidity,Swing,GBPUSD,Forex,1d,Positional,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
Swappy_3C_Scalping,YouTube @SwappyTrading0101,Intraday,USDJPY,Forex,1m,Intraday,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
GautamJha_Liquidity_Breakout,YouTube @gautammjhaa,Intraday,USDJPY,Forex,1m,Intraday,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
UmarPunjabi_Gold_London,YouTube @UmarPunjabiLive,Intraday,USDJPY,Forex,1m,Intraday,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
VolumeProfile_POC,New-Gen: Volume Profile,Swing,USDJPY,Forex,1m,Intraday,9094.21,-905.79,-9.06,-28.747,-16.967,-1.0,-9.06,0.0,0.0,10,-90.58,✅,F
Footprint_Delta_CVD,New-Gen: Footprint/CVD,Intraday,USDJPY,Forex,1m,Intraday,9397.23,-602.77,-6.03,-22.349,-13.602,-1.0,-6.03,0.0,0.0,6,-100.46,✅,F
GEX_Gamma_Exposure,New-Gen: GEX Proxy,Intraday,USDJPY,Forex,1m,Intraday,5603.87,-4396.13,-43.96,-70.472,-91.952,-1.0,-43.96,0.0,0.0,58,-75.8,❌,F
Heatmap_Liquidity,New-Gen: Liquidity Heatmap,Intraday,USDJPY,Forex,1m,Intraday,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
TPO_Market_Profile,New-Gen: TPO/Market Profile,Swing,USDJPY,Forex,1m,Intraday,3668.28,-6331.72,-63.32,-91.617,-107.264,-1.0,-63.32,1.0,0.001,99,-63.96,❌,F
VWAP_Bands,New-Gen: VWAP ±2σ Bands,Intraday,USDJPY,Forex,1m,Intraday,5000.73,-4999.27,-49.99,-75.896,-73.281,-1.0,-49.99,0.0,0.0,69,-72.45,❌,F
CVD_Composite_Flagship,New-Gen: CVD+VWAP+VolProfile+Liquidity,Swing,USDJPY,Forex,1m,Intraday,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
Swappy_3C_Scalping,YouTube @SwappyTrading0101,Intraday,USDJPY,Forex,5m,Intraday,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,✅,F
GautamJha_Liquidity_Breakout,YouTube @gautammjhaa,Intraday,USDJPY,Forex,5m,Intraday,9854.35,-145.65,-1.46,-5.725,-1.069,-1.0,-1.46,0.0,0.0,2,-72.83,✅,F
